column,missing_fraction,drop_for_ml_ready,drop_for_cluster_optional
smq050u___unit_of_measure_(day/week/month/year),0.8237192416296893,False,False
smd057___#_cigarettes_smoked_per_day_when_quit,0.8231813903455695,False,False
smq050q___how_long_since_quit_smoking_cigarettes,0.8231813903455695,False,False
rhd043___reason_not_having_regular_periods,0.8156514723678903,False,False
ocq210___usually_work_35_or_more_hours_per_week,0.8135000672314106,False,False
rhq060___age_at_last_menstrual_period,0.8133656044103805,False,False
smd100fl___cigarette_filter_type,0.8132311415893505,False,False
smd100mn___cigarette_menthol_indicator,0.8126932903052306,False,False
kiq430___how_frequently_does_this_occur?,0.8106763479897808,False,False
bpq100d___now_taking_prescribed_medicine,0.8100040338846309,False,False
hud062___how_long_since_last_healthcare_visit,0.8047599838644615,False,False
smd650___avg_#_cigarettes/day_during_past_30_days,0.8046255210434315,False,False
smd641___#_days_smoked_cigs_during_past_30_days,0.8026085787279817,False,False
smq670___tried_to_quit_smoking,0.8026085787279817,False,False
mcq530___where_was_the_most_uncomfortable_pain,0.7945408094661826,False,False
mcq540___ever_seen_a_dr_about_this_pain,0.7940029581820627,False,False
mcq195___which_type_of_arthritis_was_it?,0.7914481645824929,False,False
whq060___weight_change_intentional,0.7862041145623235,False,False
diq070___take_diabetic_pills_to_lower_blood_sugar,0.7789431222267044,False,False
whd080r___changed_eating_habits,0.7750437004168348,False,False
medication_3,0.772488906817265,False,False
"whd080s___ate_less_sugar,_candy,_sweets",0.7653623773026758,False,False
URXPREG_urine_pregnancy_result,0.7650934516606158,False,False
SSAGP_alpha_1_acid_glycoprotein_g_l,0.7582358477880866,False,False
kiq010___how_much_urine_lose_each_time?,0.755143202904397,False,False
bpq050a___now_taking_prescribed_medicine_for_hbp,0.7493613016001076,False,False
pregnancy_status,0.7480166733898077,False,False
SSMMACLC_n_acetyl_s_methyl_l_cysteine_cmt_code,0.7477477477477478,False,False
SSMMAC_n_acetyl_s_methyl_l_cysteine_ng_ml,0.7477477477477478,False,False
SSPPMALC_ppma_cmt_code,0.7477477477477478,False,False
SSPPMA_ppma_ng_ml,0.7477477477477478,False,False
whd080t___ate_less_junk_food_or_fast_food,0.7473443592846578,False,False
pad645___minutes_walk/bicycle_for_transportation,0.7446551028640581,False,False
paq640___number_of_days_walk_or_bicycle,0.7438483259378782,False,False
rhd180___age_at_first_live_birth,0.7380664246335888,False,False
ocd383___main_reason_did_not_work_last_week,0.7353771682129892,False,False
URDMUCLC_trans_trans_muconic_acid_comment_code,0.7351082425709291,False,False
URDPMALC_phenylmercapturic_acid_comment_code,0.7351082425709291,False,False
URXMUCA_trans_trans_muconic_acid_ng_ml,0.7351082425709291,False,False
URXPHMA_phenylmercapturic_acid_ng_ml,0.7351082425709291,False,False
rhd190___age_at_last_live_birth,0.7345703912868092,False,False
SSIPPPL_2_isopropyl_phenyl_phenyl_phosphate_cd,0.7328223746134194,False,False
SSIPPP_2_isopropyl_phenyl_phenyl_phosphateug_l,0.7328223746134194,False,False
SSBPPPL_4_tert_butyl_phenyl_phenyl_phosphate_cd,0.7325534489713594,False,False
SSBPPP_4_tert_butyl_phenyl_phenyl_phosphateug_l,0.7325534489713594,False,False
oral_hygiene_issue_yesno,0.7295952669086997,False,False
"whd080q___ate_more_fruits,_vegetables,_salads",0.7278472502353099,False,False
pad615___minutes_vigorous_intensity_work,0.7220653489310206,False,False
paq610___number_of_days_vigorous_work,0.7203173322576307,False,False
LBDBFOAL_br_perfluorooctanoic_acid_iso_comt_code,0.7191071668683608,False,False
LBDMFOSL_sm_pfos_comment_code,0.7191071668683608,False,False
LBDMPAHL_2_n_methyl_pfosa_acetic_acid_comt_code,0.7191071668683608,False,False
LBDNFOAL_n_perfluorooctanoic_acid_comment_code,0.7191071668683608,False,False
