column,action,count_abs_gt_8,count_abs_gt_12,min,q01,median,q99,max
LBDSPHSI_phosphorus_mmol_l,zscore_normalize,2,0,-4.225615695576528,-2.167350009732583,-0.0157119592872549,2.44726732898967,10.813906630874229
LBXBMN_blood_manganese_ug_l,zscore_normalize,2,0,-2.606229637846769,-1.5930218277047026,-0.1748687162187146,3.1331905486706777,11.933135555359009
LBXMC_mean_cell_hgb_conc_g_dl,zscore_normalize,2,0,-8.32922525103633,-2.7774533672551445,0.0590163554855628,2.0635256603976706,5.350782485162183
LBXPFNA_perfluorononanoic_acid_ng_ml,zscore_normalize,2,0,-1.2630791810629307,-1.1616926738891675,-0.3096339276401869,3.838049370710796,8.382994196056117
LBXSPH_phosphorus_mg_dl,zscore_normalize,2,0,-4.227995146856832,-2.166463733836681,-0.0172049145572075,2.4482372383281126,10.813591832299922
URXATC_2_amnothiazolne_4_carbxylic_acid_ng_ml,zscore_normalize,2,0,-0.890419281644708,-0.8438533042261046,-0.3096210296292868,4.17773138410226,10.240421982462124
URXHPM_n_ace_s_3_hydroxypropyl_l_cys_ng_ml,zscore_normalize,2,0,-0.7555859566451417,-0.6481642305687625,-0.3241871898656152,4.89381234608929,9.724309600799987
URXPMM_n_a_s_3_hydrxprpl_1_metl_l_cys_ng_ml,zscore_normalize,2,0,-0.6231614634230314,-0.5962980318920439,-0.3287777848941144,4.691457747889312,9.407845438313364
did040___age_when_first_told_you_had_diabetes,zscore_normalize,2,0,-4.205050485113428,-2.37928779336496,-0.0900660872396284,1.6424718649426635,11.360265441320694
did350___how_often_do_you_check_your_feet,zscore_normalize,2,0,-2.0,-1.1164799153299958,-0.210078219461586,4.2452143088244245,9.816780130257031
hdl_cholesterol_mg_dl,reference_normalize,2,0,-3.1333333333333333,-2.2,-0.7,2.2943333333333307,8.266666666666667
mcq570___age_when_1st_had_gallbladder_surgery?,zscore_normalize,2,0,-3.5035326187372764,-1.9963774979585476,-0.11874195319283509,5.522672377429669,8.544000037035062
smd057___#_cigarettes_smoked_per_day_when_quit,zscore_normalize,2,0,-1.2515759315910668,-1.1497549487784535,-0.1572184952102446,3.097008023776468,11.551738262968666
