SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
117379,2.0,41.0,4.0,4.0,2.0,4.0,3.0,1.0,0.32,7898.130365,6968.578999,1.0,149.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
117387,2.0,31.0,3.0,3.0,2.0,4.0,1.0,1.0,4.14,46940.302335,45371.554541,1.0,149.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117409,2.0,34.0,1.0,1.0,2.0,4.0,1.0,2.0,1.52,16786.517174,16435.760252,2.0,170.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
117417,2.0,27.0,6.0,5.0,3.0,5.0,1.0,2.0,4.81,19800.731317,19577.84548,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,Cannot determine,Born in Mexico
117429,2.0,41.0,4.0,4.0,2.0,3.0,2.0,1.0,0.38,9205.773321,8970.868964,1.0,150.0,Female,Non-Hispanic Black,High school / GED,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117447,2.0,42.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,32186.798871,31313.211999,1.0,156.0,Female,Other Hispanic,High school / GED,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
117499,2.0,38.0,2.0,2.0,2.0,3.0,1.0,2.0,,25542.236863,23622.147075,2.0,154.0,Female,Other Hispanic,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
117505,2.0,36.0,7.0,5.0,2.0,4.0,1.0,1.0,1.42,33346.661721,32998.887829,1.0,164.0,Female,Other/Multiracial,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117509,2.0,26.0,1.0,1.0,2.0,3.0,1.0,1.0,1.95,31012.178367,28203.613491,1.0,155.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117523,2.0,41.0,3.0,3.0,2.0,4.0,1.0,1.0,1.99,29706.274915,27034.185476,1.0,157.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
117527,2.0,29.0,7.0,5.0,3.0,5.0,1.0,1.0,4.69,5.397605346934028e-79,10231.059052,1.0,150.0,Female,Other/Multiracial,College graduate or above,Married / Living with partner,Cannot determine,Born in 50 US states or DC
117531,2.0,32.0,3.0,3.0,2.0,4.0,2.0,1.0,0.85,31393.494891,30342.882876,1.0,158.0,Female,Non-Hispanic White,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
117538,2.0,39.0,2.0,2.0,3.0,3.0,1.0,1.0,1.03,5.397605346934028e-79,31558.17963,2.0,171.0,Female,Other Hispanic,High school / GED,Married / Living with partner,Cannot determine,Born in 50 US states or DC
