SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,RIDRETH1,RIDEXPRG,DMDEDUC2,DMDMARTZ,DMDBORN4,INDFMPIR,WTMECPRP,WTINTPRP,SDMVPSU,SDMVSTRA,gender,ethnicity,education,marital_status,pregnancy_status,country_of_birth
109295,2.0,54.0,1.0,1.0,,1.0,1.0,2.0,5.0,9951.368904,9559.577848,2.0,155.0,Female,Mexican American,Less than 9th grade,Married / Living with partner,,Born in Mexico
109297,2.0,30.0,6.0,5.0,2.0,4.0,3.0,1.0,,14974.372893,13785.399152,2.0,154.0,Female,Non-Hispanic Asian,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109300,2.0,54.0,6.0,5.0,,5.0,1.0,2.0,5.0,23643.30481,20550.01905,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109303,1.0,18.0,6.0,5.0,,,,2.0,1.03,3910.238257,3740.39691,2.0,152.0,Male,Non-Hispanic Asian,,,,Born in Mexico
109305,1.0,55.0,6.0,5.0,,5.0,1.0,2.0,5.0,7592.522584,6649.793457,3.0,156.0,Male,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109307,1.0,47.0,6.0,5.0,,1.0,1.0,2.0,1.38,16989.215538,15248.7439,1.0,160.0,Male,Non-Hispanic Asian,Less than 9th grade,Married / Living with partner,,Born in Mexico
109311,2.0,36.0,2.0,2.0,3.0,4.0,3.0,1.0,3.39,5.397605346934028e-79,28442.976987,1.0,166.0,Female,Other Hispanic,Some college / AA,Never married,Cannot determine,Born in 50 US states or DC
109312,2.0,48.0,3.0,3.0,,5.0,1.0,1.0,5.0,133567.950048,125710.80896,1.0,163.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109313,1.0,63.0,3.0,3.0,,4.0,1.0,2.0,5.0,101702.788572,89118.344422,1.0,156.0,Male,Non-Hispanic White,Some college / AA,Married / Living with partner,,Born in Mexico
109315,2.0,30.0,4.0,4.0,2.0,4.0,3.0,1.0,2.16,7489.193596,7299.490539,2.0,170.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109316,2.0,62.0,4.0,4.0,,3.0,2.0,1.0,0.07,6448.398885,6119.732139,1.0,150.0,Female,Non-Hispanic Black,High school / GED,Widowed / Divorced / Separated,,Born in 50 US states or DC
109317,2.0,28.0,4.0,4.0,2.0,4.0,3.0,1.0,,14593.735207,13686.835274,2.0,154.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109319,1.0,22.0,4.0,4.0,,4.0,3.0,1.0,4.93,11681.71417,10545.760881,2.0,169.0,Male,Non-Hispanic Black,Some college / AA,Never married,,Born in 50 US states or DC
109321,2.0,19.0,4.0,4.0,,,,1.0,0.06,4204.73603,3886.245638,2.0,168.0,Female,Non-Hispanic Black,,,,Born in 50 US states or DC
109322,2.0,45.0,1.0,1.0,,2.0,1.0,2.0,2.79,14880.305672,14839.485563,2.0,161.0,Female,Mexican American,9-11th grade,Married / Living with partner,,Born in Mexico
109323,1.0,22.0,1.0,1.0,,4.0,3.0,1.0,2.38,21061.652275,19165.230697,2.0,154.0,Male,Mexican American,Some college / AA,Never married,,Born in 50 US states or DC
109324,2.0,49.0,3.0,3.0,,4.0,2.0,1.0,2.74,11226.906561,10163.581895,2.0,151.0,Female,Non-Hispanic White,Some college / AA,Widowed / Divorced / Separated,,Born in 50 US states or DC
109326,2.0,44.0,3.0,3.0,2.0,3.0,1.0,1.0,5.0,94345.370135,83913.333785,2.0,152.0,Female,Non-Hispanic White,High school / GED,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109327,2.0,58.0,1.0,1.0,,5.0,1.0,2.0,4.86,20026.358963,20793.089536,2.0,154.0,Female,Mexican American,College graduate or above,Married / Living with partner,,Born in Mexico
109331,2.0,19.0,1.0,1.0,,,,1.0,0.65,24886.416553,23659.467739,2.0,160.0,Female,Mexican American,,,,Born in 50 US states or DC
109332,1.0,33.0,2.0,2.0,,2.0,3.0,1.0,,13614.17816,12644.776576,2.0,166.0,Male,Other Hispanic,9-11th grade,Never married,,Born in 50 US states or DC
109333,2.0,41.0,2.0,2.0,2.0,4.0,1.0,1.0,5.0,16401.59972,15305.767602,2.0,166.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109334,2.0,54.0,3.0,3.0,,2.0,1.0,1.0,1.0,25263.684914,21464.41593,1.0,157.0,Female,Non-Hispanic White,9-11th grade,Married / Living with partner,,Born in 50 US states or DC
109335,2.0,55.0,4.0,4.0,,3.0,3.0,1.0,0.11,10453.770296,9674.274532,2.0,163.0,Female,Non-Hispanic Black,High school / GED,Never married,,Born in 50 US states or DC
109336,1.0,35.0,1.0,1.0,,5.0,1.0,1.0,3.65,28203.633077,28042.397159,2.0,155.0,Male,Mexican American,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109337,2.0,48.0,4.0,4.0,,4.0,2.0,2.0,1.18,7777.320353,7670.954552,2.0,170.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,,Born in Mexico
109340,1.0,44.0,7.0,5.0,,4.0,1.0,2.0,1.13,17860.750543,16692.014809,2.0,172.0,Male,Other/Multiracial,Some college / AA,Married / Living with partner,,Born in Mexico
109342,2.0,43.0,3.0,3.0,2.0,4.0,2.0,1.0,1.08,67850.682782,63669.639041,1.0,155.0,Female,Non-Hispanic White,Some college / AA,Widowed / Divorced / Separated,Not pregnant,Born in 50 US states or DC
109346,2.0,23.0,4.0,4.0,2.0,3.0,3.0,1.0,1.15,12652.075168,11577.566926,2.0,171.0,Female,Non-Hispanic Black,High school / GED,Never married,Not pregnant,Born in 50 US states or DC
109348,2.0,63.0,3.0,3.0,,5.0,1.0,1.0,5.0,37103.820638,34811.827416,2.0,156.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109349,2.0,47.0,1.0,1.0,,5.0,1.0,1.0,,32224.787303,32903.563,1.0,154.0,Female,Mexican American,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109350,1.0,59.0,3.0,3.0,,2.0,3.0,1.0,1.25,14768.603296,13693.376979,2.0,166.0,Male,Non-Hispanic White,9-11th grade,Never married,,Born in 50 US states or DC
109351,1.0,58.0,4.0,4.0,,3.0,2.0,1.0,0.92,13295.172845,12686.956915,1.0,151.0,Male,Non-Hispanic Black,High school / GED,Widowed / Divorced / Separated,,Born in 50 US states or DC
109353,2.0,46.0,6.0,5.0,,1.0,1.0,2.0,,15944.72831,16173.232009,1.0,151.0,Female,Non-Hispanic Asian,Less than 9th grade,Married / Living with partner,,Born in Mexico
109359,1.0,24.0,7.0,5.0,,2.0,1.0,1.0,1.44,5.397605346934028e-79,13141.893774,2.0,151.0,Male,Other/Multiracial,9-11th grade,Married / Living with partner,,Born in 50 US states or DC
109363,1.0,29.0,6.0,5.0,,5.0,1.0,2.0,5.0,5.397605346934028e-79,24714.14134,2.0,157.0,Male,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109365,2.0,49.0,2.0,2.0,,4.0,1.0,1.0,1.15,25016.05157,23567.308864,1.0,169.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109371,1.0,62.0,6.0,5.0,,5.0,1.0,1.0,4.56,5571.469217,5337.058368,2.0,155.0,Male,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109373,2.0,30.0,3.0,3.0,2.0,4.0,3.0,1.0,1.22,14611.858553,14343.322465,2.0,167.0,Female,Non-Hispanic White,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109376,1.0,23.0,3.0,3.0,,4.0,3.0,1.0,3.71,51348.588423,43093.73939,2.0,164.0,Male,Non-Hispanic White,Some college / AA,Never married,,Born in 50 US states or DC
109377,1.0,41.0,3.0,3.0,,3.0,2.0,1.0,2.57,41412.474056,42210.16822,2.0,159.0,Male,Non-Hispanic White,High school / GED,Widowed / Divorced / Separated,,Born in 50 US states or DC
109378,1.0,36.0,3.0,3.0,,5.0,3.0,1.0,5.0,45783.318199,42284.216462,2.0,171.0,Male,Non-Hispanic White,College graduate or above,Never married,,Born in 50 US states or DC
109389,1.0,56.0,7.0,5.0,,4.0,1.0,2.0,5.0,12933.270825,11139.262331,1.0,170.0,Male,Other/Multiracial,Some college / AA,Married / Living with partner,,Born in Mexico
109390,2.0,44.0,4.0,4.0,2.0,5.0,1.0,1.0,2.9,6931.067216,6775.204884,1.0,150.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109391,2.0,56.0,2.0,2.0,,1.0,1.0,2.0,1.64,14674.315625,14819.246037,2.0,160.0,Female,Other Hispanic,Less than 9th grade,Married / Living with partner,,Born in Mexico
109394,2.0,29.0,4.0,4.0,2.0,4.0,3.0,1.0,0.17,10118.84941,9360.146917,2.0,163.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109395,1.0,56.0,4.0,4.0,,4.0,1.0,1.0,3.92,13879.618539,13483.838644,1.0,164.0,Male,Non-Hispanic Black,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109396,2.0,37.0,6.0,5.0,2.0,5.0,2.0,2.0,2.38,12988.809968,12300.477627,2.0,154.0,Female,Non-Hispanic Asian,College graduate or above,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
109397,2.0,47.0,3.0,3.0,,3.0,1.0,1.0,2.77,27929.498426,27881.582473,2.0,158.0,Female,Non-Hispanic White,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109403,1.0,30.0,7.0,5.0,,5.0,1.0,1.0,5.0,24116.315424,21808.094301,1.0,151.0,Male,Other/Multiracial,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109404,2.0,23.0,2.0,2.0,2.0,5.0,1.0,1.0,0.91,68310.747594,65772.824254,2.0,162.0,Female,Other Hispanic,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109405,2.0,32.0,1.0,1.0,2.0,3.0,1.0,2.0,0.61,40402.156101,37510.194605,2.0,162.0,Female,Mexican American,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
109407,1.0,30.0,1.0,1.0,,1.0,1.0,2.0,2.01,5.397605346934028e-79,9378.557513,1.0,152.0,Male,Mexican American,Less than 9th grade,Married / Living with partner,,Born in Mexico
109408,1.0,51.0,4.0,4.0,,3.0,1.0,1.0,1.63,12837.964135,12561.026085,2.0,170.0,Male,Non-Hispanic Black,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109411,2.0,55.0,4.0,4.0,,5.0,1.0,1.0,5.0,23374.374868,23366.747641,1.0,164.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109413,2.0,59.0,6.0,5.0,,4.0,1.0,2.0,,12696.601342,11186.29537,1.0,159.0,Female,Non-Hispanic Asian,Some college / AA,Married / Living with partner,,Born in Mexico
109414,2.0,62.0,1.0,1.0,,3.0,1.0,1.0,0.77,11671.759449,10667.509267,1.0,150.0,Female,Mexican American,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109415,2.0,61.0,4.0,4.0,,5.0,1.0,1.0,3.69,14418.823094,13687.051717,1.0,172.0,Female,Non-Hispanic Black,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109416,1.0,60.0,3.0,3.0,,1.0,2.0,1.0,1.54,24735.572334,21227.854492,2.0,158.0,Male,Non-Hispanic White,Less than 9th grade,Widowed / Divorced / Separated,,Born in 50 US states or DC
109423,2.0,28.0,1.0,1.0,2.0,3.0,2.0,2.0,,30320.108051,27046.892491,2.0,161.0,Female,Mexican American,High school / GED,Widowed / Divorced / Separated,Not pregnant,Born in Mexico
109426,2.0,61.0,6.0,5.0,,5.0,1.0,2.0,4.72,17444.176315,16587.114611,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109429,1.0,27.0,3.0,3.0,,2.0,1.0,1.0,0.81,19872.424948,16536.213033,2.0,167.0,Male,Non-Hispanic White,9-11th grade,Married / Living with partner,,Born in 50 US states or DC
109431,2.0,45.0,2.0,2.0,,4.0,1.0,2.0,5.0,8443.23462,8663.022452,1.0,168.0,Female,Other Hispanic,Some college / AA,Married / Living with partner,,Born in Mexico
109432,2.0,44.0,4.0,4.0,2.0,5.0,3.0,1.0,3.66,7578.581746,6988.357343,2.0,159.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
109435,1.0,62.0,7.0,5.0,,3.0,1.0,1.0,0.46,15120.442689,14675.710171,2.0,166.0,Male,Other/Multiracial,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109439,2.0,59.0,4.0,4.0,,4.0,2.0,1.0,1.8,12824.370509,11972.156692,1.0,168.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,,Born in 50 US states or DC
109440,1.0,18.0,4.0,4.0,,,,1.0,,22124.983684,22282.221532,1.0,166.0,Male,Non-Hispanic Black,,,,Born in 50 US states or DC
109441,2.0,20.0,3.0,3.0,2.0,4.0,3.0,1.0,0.41,93014.979079,86649.297742,2.0,157.0,Female,Non-Hispanic White,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109444,1.0,21.0,4.0,4.0,,3.0,3.0,1.0,1.07,16879.818188,16017.268528,2.0,166.0,Male,Non-Hispanic Black,High school / GED,Never married,,Born in 50 US states or DC
109447,2.0,25.0,3.0,3.0,1.0,4.0,1.0,1.0,1.44,51420.188111,50390.533428,1.0,165.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,"Yes, pregnant",Born in 50 US states or DC
109450,1.0,29.0,7.0,5.0,,2.0,1.0,1.0,0.61,4862.353194,4616.310332,2.0,156.0,Male,Other/Multiracial,9-11th grade,Married / Living with partner,,Born in 50 US states or DC
109451,1.0,37.0,4.0,4.0,,5.0,1.0,1.0,3.43,10713.472659,9679.377261,2.0,167.0,Male,Non-Hispanic Black,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109454,2.0,25.0,4.0,4.0,2.0,4.0,3.0,1.0,0.29,12158.466823,11041.525929,2.0,171.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109455,1.0,40.0,3.0,3.0,,4.0,1.0,1.0,5.0,25884.886499,23733.462851,2.0,156.0,Male,Non-Hispanic White,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109458,1.0,18.0,6.0,5.0,,,,2.0,0.64,5077.707641,4698.785859,2.0,169.0,Male,Non-Hispanic Asian,,,,Born in Mexico
109459,1.0,32.0,6.0,5.0,,4.0,3.0,2.0,2.66,29975.836329,26231.877594,1.0,161.0,Male,Non-Hispanic Asian,Some college / AA,Never married,,Born in Mexico
109464,1.0,30.0,6.0,5.0,,3.0,3.0,2.0,1.43,14257.934519,13274.848217,1.0,160.0,Male,Non-Hispanic Asian,High school / GED,Never married,,Born in Mexico
109466,1.0,40.0,1.0,1.0,,3.0,1.0,2.0,,25029.944476,22808.265623,2.0,152.0,Male,Mexican American,High school / GED,Married / Living with partner,,Born in Mexico
109467,1.0,21.0,3.0,3.0,,4.0,3.0,1.0,5.0,87630.054905,76993.762432,1.0,150.0,Male,Non-Hispanic White,Some college / AA,Never married,,Born in 50 US states or DC
109468,1.0,60.0,3.0,3.0,,3.0,1.0,1.0,1.47,14054.454748,12535.075636,2.0,163.0,Male,Non-Hispanic White,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109472,1.0,34.0,1.0,1.0,,5.0,1.0,1.0,3.52,23874.469475,23759.287843,2.0,154.0,Male,Mexican American,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109473,1.0,19.0,3.0,3.0,,,,1.0,,42320.534841,40406.925632,2.0,149.0,Male,Non-Hispanic White,,,,Born in 50 US states or DC
109478,2.0,27.0,3.0,3.0,2.0,4.0,1.0,1.0,5.0,39528.599571,37996.261846,1.0,158.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109480,1.0,30.0,4.0,4.0,,4.0,3.0,1.0,1.11,15519.543365,14305.085404,2.0,170.0,Male,Non-Hispanic Black,Some college / AA,Never married,,Born in 50 US states or DC
109481,1.0,60.0,2.0,2.0,,5.0,1.0,2.0,1.39,12228.198484,12020.199076,2.0,172.0,Male,Other Hispanic,College graduate or above,Married / Living with partner,,Born in Mexico
109482,2.0,48.0,3.0,3.0,,5.0,1.0,1.0,5.0,76868.985273,71903.51764,2.0,158.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109485,2.0,47.0,2.0,2.0,,5.0,2.0,2.0,4.18,31499.258642,30198.688456,1.0,169.0,Female,Other Hispanic,College graduate or above,Widowed / Divorced / Separated,,Born in Mexico
109486,1.0,65.0,2.0,2.0,,5.0,1.0,2.0,5.0,7506.572056,7015.868851,2.0,155.0,Male,Other Hispanic,College graduate or above,Married / Living with partner,,Born in Mexico
109488,1.0,40.0,4.0,4.0,,4.0,1.0,1.0,1.63,6306.881125,5907.795599,2.0,163.0,Male,Non-Hispanic Black,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109495,1.0,52.0,3.0,3.0,,3.0,1.0,1.0,5.0,174712.427336,171689.436638,1.0,155.0,Male,Non-Hispanic White,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109496,1.0,50.0,3.0,3.0,,4.0,1.0,1.0,5.0,189197.404282,163443.9521,2.0,153.0,Male,Non-Hispanic White,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109497,2.0,48.0,4.0,4.0,,3.0,3.0,1.0,1.04,10350.730503,9048.362095,2.0,151.0,Female,Non-Hispanic Black,High school / GED,Never married,,Born in 50 US states or DC
109501,1.0,45.0,1.0,1.0,,5.0,1.0,2.0,5.0,32364.272998,32607.036407,1.0,156.0,Male,Mexican American,College graduate or above,Married / Living with partner,,Born in Mexico
109502,2.0,29.0,1.0,1.0,2.0,4.0,1.0,1.0,2.38,24330.138035,22453.899891,2.0,154.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109504,1.0,53.0,4.0,4.0,,4.0,1.0,1.0,3.55,9683.204165,8537.324722,3.0,156.0,Male,Non-Hispanic Black,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109505,2.0,60.0,4.0,4.0,,4.0,2.0,1.0,2.26,2965.16746,2825.350251,1.0,168.0,Female,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,,Born in 50 US states or DC
109508,2.0,39.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,223255.602236,218279.807754,2.0,157.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109510,1.0,28.0,6.0,5.0,,5.0,3.0,2.0,,28089.285105,24714.14134,2.0,157.0,Male,Non-Hispanic Asian,College graduate or above,Never married,,Born in Mexico
109512,1.0,42.0,4.0,4.0,,5.0,1.0,1.0,5.0,26946.935069,26267.508013,1.0,166.0,Male,Non-Hispanic Black,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109513,2.0,48.0,3.0,3.0,,5.0,1.0,1.0,5.0,39486.30396,36825.131138,2.0,159.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109518,2.0,25.0,6.0,5.0,2.0,5.0,3.0,1.0,4.78,32206.895507,30277.718945,1.0,169.0,Female,Non-Hispanic Asian,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
109519,1.0,55.0,4.0,4.0,,4.0,2.0,1.0,1.6,6662.805656,6322.129646,2.0,168.0,Male,Non-Hispanic Black,Some college / AA,Widowed / Divorced / Separated,,Born in 50 US states or DC
109525,1.0,24.0,6.0,5.0,,4.0,3.0,2.0,,10321.858536,9078.392959,2.0,155.0,Male,Non-Hispanic Asian,Some college / AA,Never married,,Born in Mexico
109526,2.0,31.0,4.0,4.0,2.0,5.0,3.0,1.0,,8519.372754,8393.421949,1.0,152.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
109530,2.0,49.0,1.0,1.0,,3.0,1.0,2.0,1.78,27351.371038,25949.577583,2.0,164.0,Female,Mexican American,High school / GED,Married / Living with partner,,Born in Mexico
109531,1.0,32.0,6.0,5.0,,5.0,1.0,2.0,,15902.160448,14377.21817,1.0,170.0,Male,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109536,2.0,48.0,3.0,3.0,,5.0,1.0,1.0,5.0,92168.503288,83106.714242,2.0,152.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109537,2.0,34.0,6.0,5.0,3.0,3.0,1.0,2.0,,5.397605346934028e-79,9650.824302,2.0,155.0,Female,Non-Hispanic Asian,High school / GED,Married / Living with partner,Cannot determine,Born in Mexico
109539,2.0,19.0,3.0,3.0,,,,1.0,0.99,55219.936598,53913.077006,1.0,153.0,Female,Non-Hispanic White,,,,Born in 50 US states or DC
109541,2.0,35.0,4.0,4.0,2.0,4.0,3.0,1.0,1.9,3899.47546,3784.598133,1.0,150.0,Female,Non-Hispanic Black,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109542,2.0,18.0,1.0,1.0,,,,1.0,1.41,9311.839377,8879.178862,2.0,166.0,Female,Mexican American,,,,Born in 50 US states or DC
109545,2.0,36.0,6.0,5.0,2.0,3.0,1.0,2.0,,14207.589125,13564.656015,2.0,169.0,Female,Non-Hispanic Asian,High school / GED,Married / Living with partner,Not pregnant,Born in Mexico
109548,2.0,25.0,4.0,4.0,2.0,5.0,3.0,1.0,4.61,23608.835029,21878.490955,3.0,156.0,Female,Non-Hispanic Black,College graduate or above,Never married,Not pregnant,Born in 50 US states or DC
109549,1.0,22.0,3.0,3.0,,4.0,3.0,1.0,3.52,96634.776962,83497.168708,2.0,149.0,Male,Non-Hispanic White,Some college / AA,Never married,,Born in 50 US states or DC
109550,2.0,64.0,3.0,3.0,,5.0,1.0,2.0,1.85,73042.920645,75665.230191,2.0,158.0,Female,Non-Hispanic White,College graduate or above,Married / Living with partner,,Born in Mexico
109551,1.0,65.0,7.0,5.0,,1.0,77.0,1.0,,12949.828889,12094.709517,2.0,166.0,Male,Other/Multiracial,Less than 9th grade,Refused,,Born in 50 US states or DC
109554,1.0,21.0,4.0,4.0,,3.0,3.0,1.0,0.96,35137.420344,32817.115498,1.0,172.0,Male,Non-Hispanic Black,High school / GED,Never married,,Born in 50 US states or DC
109555,2.0,22.0,6.0,5.0,2.0,4.0,1.0,1.0,2.4,6827.813092,6534.597808,2.0,149.0,Female,Non-Hispanic Asian,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109558,1.0,57.0,3.0,3.0,,3.0,1.0,1.0,4.64,56402.613492,51010.860985,2.0,150.0,Male,Non-Hispanic White,High school / GED,Married / Living with partner,,Born in 50 US states or DC
109560,1.0,34.0,1.0,1.0,,5.0,1.0,1.0,,41558.639304,40465.312939,1.0,151.0,Male,Mexican American,College graduate or above,Married / Living with partner,,Born in 50 US states or DC
109561,2.0,30.0,4.0,4.0,3.0,3.0,1.0,2.0,3.95,5.397605346934028e-79,20441.25812,2.0,165.0,Female,Non-Hispanic Black,High school / GED,Married / Living with partner,Cannot determine,Born in Mexico
109563,2.0,36.0,1.0,1.0,2.0,4.0,1.0,2.0,3.04,59380.123003,55583.144639,2.0,162.0,Female,Mexican American,Some college / AA,Married / Living with partner,Not pregnant,Born in Mexico
109564,1.0,19.0,3.0,3.0,,,,1.0,0.5,20135.329572,18454.25931,2.0,167.0,Male,Non-Hispanic White,,,,Born in 50 US states or DC
109567,1.0,49.0,3.0,3.0,,4.0,1.0,1.0,5.0,25353.66923,23608.162718,2.0,156.0,Male,Non-Hispanic White,Some college / AA,Married / Living with partner,,Born in 50 US states or DC
109568,2.0,32.0,4.0,4.0,2.0,4.0,1.0,1.0,0.9,17625.677528,16794.348371,1.0,151.0,Female,Non-Hispanic Black,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109571,2.0,28.0,7.0,5.0,2.0,4.0,3.0,1.0,0.66,6098.607785,5646.402665,1.0,171.0,Female,Other/Multiracial,Some college / AA,Never married,Not pregnant,Born in 50 US states or DC
109574,2.0,55.0,6.0,5.0,,5.0,1.0,2.0,5.0,13420.408964,12235.520733,1.0,166.0,Female,Non-Hispanic Asian,College graduate or above,Married / Living with partner,,Born in Mexico
109579,2.0,42.0,3.0,3.0,2.0,4.0,1.0,1.0,1.06,19090.236172,19439.680641,2.0,158.0,Female,Non-Hispanic White,Some college / AA,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109580,2.0,39.0,4.0,4.0,2.0,2.0,1.0,1.0,2.22,22255.922352,20741.157089,1.0,168.0,Female,Non-Hispanic Black,9-11th grade,Married / Living with partner,Not pregnant,Born in 50 US states or DC
109581,1.0,43.0,3.0,3.0,,3.0,1.0,1.0,1.02,27429.998166,25842.441921,1.0,157.0,Male,Non-Hispanic White,High school / GED,Married / Living with partner,,Born in 50 US states or DC
