original_column,source_file,label,readable_name_suggested,readable_name_final,keep_status,notes
LBDLDNSI,P_TRIGLY.xpt,"LDL-Cholesterol, NIH equation 2 (mmol/L)",ldl_cholesterol_nih_equation_2_mmol_l,,review,
WTTSTPP,P_TST.xpt,TST Subsample Weights Pre-Pandemic,tst_subsample_weights_pre_pandemic,,review,
LBX17H,P_TST.xpt,17a-hydroxyprogesterone (ng/dL),17a_hydroxyprogesterone_ng_dl,,review,
LBD17HSI,P_TST.xpt,17a-hydroxyprogesterone (nmol/L),17a_hydroxyprogesterone_nmol_l,,review,
LBD17HLC,P_TST.xpt,17a-hydroxyprogesterone Comment Code,17a_hydroxyprogesterone_comment_code,,review,
LBXAND,P_TST.xpt,Androstenedione (ng/dL),androstenedione_ng_dl,,review,
LBDANDSI,P_TST.xpt,Androstenedione (nmol/L),androstenedione_nmol_l,,review,
LBDANDLC,P_TST.xpt,Androstenedione Comment Code,androstenedione_comment_code,,review,
LBXAMH,P_TST.xpt,Anti-Mullerian hormone (ng/mL),anti_mullerian_hormone_ng_ml,,review,
LBDAMHSI,P_TST.xpt,Anti-Mullerian hormone (pmol/L),anti_mullerian_hormone_pmol_l,,review,
LBDAMHLC,P_TST.xpt,Anti-Mullerian hormone Comment Code,anti_mullerian_hormone_comment_code,,review,
LBXEST,P_TST.xpt,Estradiol (pg/mL),estradiol_pg_ml,,review,
LBDESTSI,P_TST.xpt,Estradiol (pmol/L),estradiol_pmol_l,,review,
LBDESTLC,P_TST.xpt,Estradiol Comment Code,estradiol_comment_code,,review,
LBXESO,P_TST.xpt,Estrone (ng/dL),estrone_ng_dl,,review,
LBDESOSI,P_TST.xpt,Estrone (pmol/L),estrone_pmol_l,,review,
LBDESOLC,P_TST.xpt,Estrone Comment Code,estrone_comment_code,,review,
LBXES1,P_TST.xpt,Estrone Sulfate (pg/mL),estrone_sulfate_pg_ml,,review,
LBDES1SI,P_TST.xpt,Estrone Sulfate (pmol/L),estrone_sulfate_pmol_l,,review,
LBDES1LC,P_TST.xpt,Estrone Sulfate Comment Code,estrone_sulfate_comment_code,,review,
LBXFSH,P_TST.xpt,Follicle Stimulating Hormone (mIU/mL),follicle_stimulating_hormone_miu_ml,,review,
LBDFSHLC,P_TST.xpt,FSH Comment Code,fsh_comment_code,,review,
LBXLUH,P_TST.xpt,Luteinizing Hormone (mIU/mL),luteinizing_hormone_miu_ml,,review,
LBDLUHLC,P_TST.xpt,Luteinizing Hormone Comment Code,luteinizing_hormone_comment_code,,review,
LBXPG4,P_TST.xpt,Progesterone (ng/dL),progesterone_ng_dl,,review,
LBDPG4SI,P_TST.xpt,Progesterone (nmol/L),progesterone_nmol_l,,review,
LBDPG4LC,P_TST.xpt,Progesterone Comment Code,progesterone_comment_code,,review,
LBXSHBG,P_TST.xpt,SHBG (nmol/L),shbg_nmol_l,,review,
LBDSHGLC,P_TST.xpt,SHBG Comment Code,shbg_comment_code,,review,
WTSAPRP__p_uas,,,,,review,
URXUAS3,P_UAS.xpt,Urinary Arsenous acid (ug/L),urinary_arsenous_acid_ug_l,,review,
URDUA3LC,P_UAS.xpt,Urinary Arsenous acid comment code,urinary_arsenous_acid_comment_code,,review,
URXUAS5,P_UAS.xpt,Urinary Arsenic acid (ug/L),urinary_arsenic_acid_ug_l,,review,
URDUA5LC,P_UAS.xpt,Urinary Arsenic acid comment code,urinary_arsenic_acid_comment_code,,review,
URXUAB,P_UAS.xpt,Urinary Arsenobetaine (ug/L),urinary_arsenobetaine_ug_l,,review,
URDUABLC,P_UAS.xpt,Urinary Arsenobetaine comment code,urinary_arsenobetaine_comment_code,,review,
URXUAC,P_UAS.xpt,Urinary Arsenocholine (ug/L),urinary_arsenocholine_ug_l,,review,
URDUACLC,P_UAS.xpt,Urinary Arsenocholine comment code,urinary_arsenocholine_comment_code,,review,
URXUDMA,P_UAS.xpt,Urinary Dimethylarsinic acid (ug/L),urinary_dimethylarsinic_acid_ug_l,,review,
URDUDALC,P_UAS.xpt,Urinary Dimethylarsinic acid comment,urinary_dimethylarsinic_acid_comment,,review,
URXUMMA,P_UAS.xpt,Urinary Monomethylarsonic acid (ug/L),urinary_monomethylarsonic_acid_ug_l,,review,
URDUMMAL,P_UAS.xpt,Urinary Monomethylarsonic acid comment,urinary_monomethylarsonic_acid_comment,,review,
URXVOL1,P_UCFLOW.xpt,The volume of urine collection #1 (mL),the_volume_of_urine_collection_1_ml,,review,
URDFLOW1,P_UCFLOW.xpt,Urine #1 Flow Rate (mL/min),urine_1_flow_rate_ml_min,,review,
URDTIME1,P_UCFLOW.xpt,Minutes b/w last urination  & urine # 1,minutes_b_w_last_urination_urine_1,,review,
URXVOL2,P_UCFLOW.xpt,The volume of urine collection #2 (mL),the_volume_of_urine_collection_2_ml,,review,
URDFLOW2,P_UCFLOW.xpt,Urine #2 Flow Rate (mL/min),urine_2_flow_rate_ml_min,,review,
URDTIME2,P_UCFLOW.xpt,Minutes b/w urine # 1 & urine # 2,minutes_b_w_urine_1_urine_2,,review,
URXVOL3,P_UCFLOW.xpt,The volume of urine collection #3 (mL),the_volume_of_urine_collection_3_ml,,review,
URDFLOW3,P_UCFLOW.xpt,Urine #3 Flow Rate (mL/min),urine_3_flow_rate_ml_min,,review,
