SEQN,umap_x,umap_y
110571.0,17.343378,14.132811
110572.0,15.543526,10.480249
110573.0,18.349863,13.191936
110576.0,16.442307,10.647962
110579.0,16.289557,11.659474
110581.0,15.016859,11.326243
110582.0,19.134893,10.13689
110588.0,19.59658,11.567197
110589.0,15.700391,8.006115
110593.0,18.93729,7.295274
110594.0,15.829192,7.5997605
110597.0,4.541494,11.474197
110602.0,19.361368,8.49855
110603.0,18.263638,13.434233
110604.0,15.736084,6.963111
110606.0,15.2826605,10.624732
110607.0,16.183922,13.363083
110608.0,4.5571337,11.472672
110610.0,14.843195,9.22657
110612.0,15.458743,7.7194204
110613.0,16.308731,13.726953
110614.0,19.483524,10.082101
110618.0,16.573223,9.704993
110621.0,17.475967,13.744207
110624.0,17.48943,11.534542
110626.0,15.853172,10.129715
110627.0,19.27791,8.620433
110628.0,18.124723,13.9341135
110631.0,16.949736,13.386783
110636.0,6.930338,11.351298
110637.0,4.871219,11.280366
110638.0,14.644029,11.546704
110639.0,16.853804,13.034486
110640.0,15.500336,13.462683
110645.0,15.738648,11.065426
110650.0,16.841463,8.014794
110651.0,17.364666,13.986836
110653.0,17.896038,10.365764
110655.0,15.026179,10.864124
110657.0,16.985762,8.8989
110658.0,17.27945,13.740331
110661.0,14.814606,10.980961
110663.0,15.170936,13.8203745
110664.0,17.46371,11.900894
110665.0,17.042177,12.075619
110669.0,15.868036,10.356067
110674.0,15.432942,12.773771
110678.0,17.324001,10.893545
110681.0,19.565008,8.614741
110682.0,17.787369,13.76988
110683.0,19.954004,11.062723
110684.0,19.299377,7.93581
110686.0,17.582985,10.181302
110687.0,15.925176,12.782206
110688.0,19.488102,8.724093
110690.0,19.904142,11.34996
110692.0,19.26351,8.201219
110699.0,15.649318,11.848729
110702.0,19.041822,9.577786
110704.0,17.927721,13.834159
110705.0,19.86381,9.790245
110706.0,19.877583,10.8817835
110711.0,13.833127,12.274686
110712.0,18.240551,13.75283
110713.0,16.882915,8.233121
110715.0,18.466845,13.083743
110716.0,17.65126,13.715071
110717.0,18.53323,13.782165
110718.0,14.527171,9.376112
110719.0,14.677121,8.105701
110722.0,14.303435,8.658204
110724.0,17.46791,10.29858
110726.0,16.465673,13.813407
110729.0,16.82793,10.209597
110730.0,19.522291,8.374711
110736.0,17.192408,11.935506
110738.0,16.578146,14.139327
110739.0,16.790995,10.824048
110742.0,18.62836,13.409603
110748.0,19.360928,7.828923
110750.0,17.503021,12.69775
110752.0,16.044548,9.059378
110753.0,19.138193,9.255553
110757.0,14.515077,10.977052
110759.0,15.666075,12.482156
110760.0,15.930458,9.038081
110765.0,16.703176,11.7548065
110766.0,15.432325,7.760836
110769.0,12.839049,10.686137
110771.0,19.130188,9.003489
110773.0,19.370867,7.252554
110776.0,19.813484,11.528863
110780.0,13.817221,11.747471
110781.0,19.262943,11.492584
110782.0,16.32151,14.165701
110784.0,19.578478,9.051292
110785.0,14.470898,8.880293
110789.0,16.765972,10.716102
110791.0,4.154396,11.485307
110792.0,18.812414,12.911839
110794.0,14.783009,12.381373
110795.0,15.279791,12.6838875
110796.0,16.40984,11.73817
110798.0,19.392134,8.066485
110799.0,17.211077,13.56625
110800.0,16.036695,7.9580345
110805.0,15.6567,13.751924
110806.0,15.696184,12.602971
110811.0,17.53933,12.767718
110814.0,14.325549,8.594683
110816.0,16.431225,9.093926
110819.0,17.470724,10.678149
110820.0,15.786127,13.234048
110824.0,17.163977,10.260302
110826.0,4.531079,10.408806
110830.0,19.195217,8.981245
110835.0,16.852842,11.628425
110836.0,15.31167,11.14508
110837.0,15.02856,8.031693
110841.0,12.966962,12.460598
110842.0,18.654867,13.0117445
110848.0,18.963335,7.3115253
110851.0,17.20746,8.581589
110852.0,15.54091,13.351709
110853.0,17.712206,10.764411
110854.0,16.658957,11.546046
110857.0,17.769646,10.910599
110859.0,16.049452,12.750604
110860.0,16.03959,6.893749
110862.0,4.5582075,10.389258
110865.0,16.364431,8.436584
110868.0,18.676434,9.995679
110871.0,15.759143,6.912089
110872.0,17.770098,13.181614
110874.0,4.438697,10.340725
110875.0,17.88933,13.878208
110876.0,4.2424603,11.576836
110879.0,15.881101,13.951375
110881.0,16.331072,9.180193
110886.0,17.712273,13.04488
110887.0,16.011473,6.8409305
110890.0,16.7768,11.177589
110894.0,16.398827,11.640769
110895.0,15.939785,6.731746
110897.0,19.8214,10.719728
110898.0,14.302706,12.240713
110899.0,4.566471,10.485734
110900.0,14.471121,13.012094
110904.0,18.792355,8.191449
110905.0,18.26113,12.630127
110908.0,16.811008,9.598796
110909.0,16.702007,13.896018
110910.0,19.724329,10.490042
110911.0,16.815992,13.7217865
110916.0,17.519058,9.654669
110917.0,19.777239,10.632914
110918.0,17.570856,14.262209
110921.0,13.311083,11.436777
110924.0,15.364646,14.172316
110932.0,19.38338,9.535757
110934.0,18.963282,8.5150585
110935.0,15.695067,12.057924
110939.0,16.03485,10.899478
110940.0,14.948153,13.229867
110941.0,4.4904647,11.802934
110946.0,17.089834,9.8431425
110947.0,19.657478,9.005719
110948.0,19.551977,10.323348
110949.0,16.696184,8.850178
110950.0,16.312466,13.321059
110953.0,17.339638,13.823339
110954.0,19.482124,7.8675623
110957.0,19.110573,8.790243
110958.0,17.599665,14.362038
110959.0,15.000925,12.847801
110961.0,18.941002,11.568084
110964.0,16.403326,10.9465885
110965.0,15.972343,8.366233
110966.0,16.745852,8.9344015
110969.0,15.54298,7.2252007
110970.0,17.262888,13.243295
110975.0,15.722436,13.758865
110976.0,18.507647,7.637128
