target,model_name,threshold,precision,recall,f1,flags_n,flags_pct
vitamin_deficiency_any,rf_cal,0.2,0.42348117778606037,0.9279647174126102,0.5815631877975124,13415,0.8076946233969534
vitamin_deficiency_any,rf_cal,0.25,0.4421052631578947,0.8918654034629206,0.5911650064963188,12350,0.7435727617556747
vitamin_deficiency_any,rf_cal,0.3,0.4626360559773164,0.8262005880431231,0.5931398416886544,10933,0.6582575711963393
vitamin_deficiency_any,rf_cal,0.35,0.4896890343698854,0.733093760209082,0.5871655655131811,9165,0.5518092600397375
vitamin_deficiency_any,rf_cal,0.4,0.5198177047369148,0.6148317543286508,0.5633465539175335,7241,0.4359684508399061
vitamin_deficiency_any,rf_cal,0.45,0.556508481036783,0.476968311009474,0.5136775441991381,5247,0.31591305918477935
vitamin_deficiency_any,rf_cal,0.5,0.5886719824030795,0.34972231296961775,0.4387744645967825,3637,0.21897766271298694
vitamin_deficiency_any,rf_cal,0.55,0.6379928315412187,0.23260372427311335,0.3409145319607374,2232,0.13438497200313082
vitamin_deficiency_any,rf_cal,0.6,0.6714905933429812,0.1515844495262986,0.24733475479744138,1382,0.08320789933168764
vitamin_deficiency_any,rf_cal,0.65,0.7117346938775511,0.09114668409016662,0.16159860990443092,784,0.04720332349930761
vitamin_deficiency_any,rf_cal,0.7,0.7358870967741935,0.05962103887618425,0.11030522816560895,496,0.02986332711180685
vitamin_deficiency_any,rf_cal,0.75,0.7984189723320159,0.03299575302188827,0.06337254901960784,253,0.015232705159853092
vitamin_deficiency_any,rf_cal,0.8,0.7285714285714285,0.008330610911466842,0.016472868217054265,70,0.004214582455295322
vitamin_deficiency_any,rf_cal,0.85,0.75,0.0024501796798431885,0.00488440247476392,20,0.0012041664157986633
vitamin_deficiency_any,rf_cal,0.9,0.5,0.0001633453119895459,0.0003265839320705421,2,0.00012041664157986634
